,date,time,hand,Name,t_Ante/Bet,t_Winnings,t_Profit,Game
56,2020-06-04,22:10:12.401251,20,Clyde,320,315,-5,4
57,2020-06-04,22:10:12.401251,20,Mercer,190,135,-55,4
58,2020-06-04,22:10:12.401251,20,Bornstein,230,140,-90,4
59,2020-06-04,22:10:12.401251,20,Bartman,360,205,-155,4
60,2020-06-04,22:25:13.034338,22,Mr.Pink,320,505,185,4
61,2020-06-04,22:25:13.034338,22,Judogi,310,440,130,4
62,2020-06-04,22:25:13.034338,22,Bartman,435,390,-45,4
63,2020-06-04,22:25:13.034338,22,Clyde,370,315,-55,4
64,2020-06-04,22:25:13.034338,22,JohnAlba,310,240,-70,4
65,2020-06-04,22:25:13.034338,22,Mercer,220,135,-85,4
66,2020-06-04,22:25:13.034338,22,Bornstein,270,140,-130,4
67,2020-06-04,22:36:00.677854,24,Mr.Pink,330,505,175,4
68,2020-06-04,22:36:00.677854,24,Judogi,320,440,120,4
69,2020-06-04,22:36:00.677854,24,Clyde,430,465,35,4
70,2020-06-04,22:36:00.677854,24,Bartman,520,540,20,4
71,2020-06-04,22:36:00.677854,24,JohnAlba,360,240,-120,4
72,2020-06-04,22:36:00.677854,24,Mercer,255,135,-120,4
73,2020-06-04,22:36:00.677854,24,Bornstein,320,140,-180,4
74,2020-06-04,22:48:22.395124,26,Judogi,395,580,185,4
75,2020-06-04,22:48:22.395124,26,Mr.Pink,355,505,150,4
76,2020-06-04,22:48:22.395124,26,Clyde,495,605,110,4
77,2020-06-04,22:48:22.395124,26,Bartman,530,540,10,4
78,2020-06-04,22:48:22.395124,26,Mercer,285,135,-150,4
79,2020-06-04,22:48:22.395124,26,JohnAlba,405,240,-165,4
80,2020-06-04,22:48:22.395124,26,Bornstein,350,140,-210,4
81,2020-06-04,21:04:22.792923,7,Bornstein,75,140,65,4
82,2020-06-04,21:04:22.792923,7,Mr.Pink,75,135,60,4
83,2020-06-04,21:04:22.792923,7,JohnAlba,15,0,-15,4
84,2020-06-04,21:04:22.792923,7,Judogi,20,0,-20,4
85,2020-06-04,21:04:22.792923,7,Clyde,45,0,-45,4
86,2020-06-04,21:04:22.792923,7,Bartman,45,0,-45,4
87,2020-06-04,23:04:05.161376,2,JohnAlba,80,180,100,5
88,2020-06-04,23:04:05.161376,2,Mr.Pink,75,90,15,5
89,2020-06-04,23:04:05.161376,2,Bartman,90,95,5,5
90,2020-06-04,23:04:05.161376,2,Judogi,10,0,-10,5
91,2020-06-04,23:04:05.161376,2,Mercer,30,0,-30,5
92,2020-06-04,23:04:05.161376,2,Bornstein,30,0,-30,5
93,2020-06-04,23:04:05.161376,2,Clyde,50,0,-50,5
94,2020-06-04,23:14:10.351084,4,Judogi,60,145,85,5
95,2020-06-04,23:14:10.351084,4,JohnAlba,100,180,80,5
96,2020-06-04,23:14:10.351084,4,Bornstein,80,70,-10,5
97,2020-06-04,23:14:10.351084,4,Mr.Pink,100,90,-10,5
98,2020-06-04,23:14:10.351084,4,Mercer,40,0,-40,5
99,2020-06-04,23:14:10.351084,4,Clyde,115,70,-45,5
100,2020-06-04,23:14:10.351084,4,Bartman,155,95,-60,5
